,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35
SR-p53,0.29831267487131113,0.10278225093694096,3.0208576639675786,0.06807974351358888,6.149115416387808,1.6058575053230648,1.2919322473462878,0.5060228544865257,0.08672569946121143,2.266617114267019,0.047698770175985235,0.5006576029318509,0.2867075679522148,0.34424255752621435,0.10334799524811318,0.5237144762974408,0.0003295397085357245,0.03915556763885503,3.4222631018547203,0.14929288192837925,1.2799129020145468,0.09759255711133205,0.36465664114477797,1.2289311084763337,1.8344697819618907,3.2850183067268683,10.92957591025483,2.7498019874666033,0.3131499641264927,0.771895874097636,0.1378299411168156,0.8341537429634045,1.2795068144331707,4.255458833268688,0.3188984103534656
MW,3.773525671653905,1.468156954655466,1.8714504019072986,0.24837982571578507,0.17288484153860528,0.09338891583413211,0.07177555249878265,0.0022442157684376567,0.16872853204242708,0.00149346257936632,0.010103294103486397,0.08541809911440312,0.02879497642418607,0.006676579500942541,0.038953848367897184,0.11832902796630818,0.17657209890500966,0.027168805668315126,0.061556878486180744,0.13429197708452462,0.010797275719470154,0.07447004708450349,0.010902596433389028,0.03677333053499376,0.1877267376950391,0.015425818518758658,0.15798422688489355,0.08947079663631817,0.14849638880548224,0.0013456452597347321,0.2459126299366861,0.008210082032213378,0.002345912727470337,0.005256184353081258,0.1322402838699697
Vol,2.8123472597454486,2.235725551633733,2.5025382120454682,0.5364399222252539,0.2498117762673187,0.5947507062416796,0.2452524825776669,0.08407275591288814,0.4332597783159218,0.002908698734609039,0.2673907170368235,0.01982463342829869,0.012696938666072912,0.03960137911347043,0.03353326571929816,0.13614681623719063,0.08416267544836648,0.016139034033609542,0.05335531918568017,0.10608849706843616,0.013949496544481904,0.07408922782801144,0.148348936613259,0.15402510991646565,0.0540165596909682,0.0009070613952638254,0.05949714007759514,0.08637776343100263,0.025331292978611916,0.08533342362563495,0.19953205238515448,0.01897027523319345,0.039409102630287934,0.06432560493913722,0.5555967220584948
Dense,2.562148027043465,0.7685570699882786,0.05211365833582082,0.5845592624899805,0.21123357582784047,3.0902880182138928,0.40052427804214236,2.023346702940222,0.7720723667164717,1.2976927659215475e-05,2.3239614265268127,0.21447532061617197,0.023735527393733497,0.43675578738510146,2.0102446658592217,0.0259443310435907,0.37495894913089367,0.19828969265074403,0.018867068456596376,0.20289665983676974,0.09766472926417151,0.00023026072036160037,0.788869985806398,1.0729999724107655,0.24926967274441678,0.8598570227244374,0.22495634311696716,0.10336042669807637,1.1493021174043612,1.1685337393362096,0.014078301581774954,0.5498330473412252,0.7720156700852703,1.215476474647828,2.064305266596228
nHA,4.690413135927302,0.015060017904050538,0.7252314404944112,0.10074666007178174,0.5936276929748323,0.019819678347694006,0.010272517635155564,0.03535907850950206,0.0014499944676997908,0.41030874108799664,0.1262463443326098,0.43625731194435113,0.014899200050940146,0.0010891728157928085,0.0681734628038946,0.01657333370514521,0.12262265745071933,0.00028192807606126116,0.04921769408234994,0.00984490075575761,0.012190547804985151,0.001335754208725859,0.011001340936381354,0.44303060172475606,0.07791931675377191,0.4364935442522636,0.11618367325109472,1.8429340978671365,1.037821905227324,0.014577503639681693,0.5002221776642484,0.013440396168346984,0.0002850226668032678,0.18912479160370385,0.3237741703856624
nHD,1.932194847008218,1.0518578753898822,0.015606941733995952,0.11342313538854863,0.4386429276320403,1.9624901346229326,0.03449127369749373,1.5246882718863044,0.251479046292111,7.584421756033458,0.6434436989317073,0.775228487869648,0.7337563732834538,0.2734552704918,0.3600356364416809,0.006154537220179336,4.253580238529107,0.8390509979479157,1.0406082406480832,0.29026722635957897,0.26140426178022785,1.4750494355321724,0.007316998040564979,0.35263003956166383,0.7535450820160905,0.057062562805266975,0.0007896984822505218,0.7528400035061217,0.05905150304787788,0.06705688322505374,0.31890302125707354,0.045268021310682444,0.46548751074765304,0.6467424917971787,1.8557270699499595
TPSA,4.631099273801716,0.0606954022984693,0.4233881990995379,0.028069042667965862,0.47613831920740285,0.041023123208907476,0.037649593277766145,0.031373483804343044,0.04988406705386938,1.6332450923025228,0.003202242840232341,0.9581976259338945,0.13226096150487845,0.21628838681053553,0.042691113646731525,0.006852450931293769,0.062270135339641014,0.002249092876714625,0.11141318999006729,0.061043235330503265,0.08716593792780629,0.0006934598201873032,0.007111486889815027,0.8345272317023866,0.05881093611887178,0.20370555550136707,0.20790247947746485,0.37956304054616535,0.943666441470844,0.13533930561018764,0.3052157803064016,0.06368130560901836,0.0519718026392359,0.5233825868217621,0.058549250983483514
nRot,3.1241384775625574,0.5763069535664505,1.9626461721517898,0.32127732213672083,0.845264456228685,0.22321803877834007,1.2091117817669397,0.2849190002666413,0.7515723124469803,0.8771933428743786,0.052177534646932616,0.533382741115911,0.03445813674915767,0.28523550368953854,0.07167297701657252,0.9489629829623011,0.24983997971880761,0.04781204817897909,0.6805329979267266,1.602196131623751,0.1568176272644377,0.46386754653381945,0.07876495739584378,0.36535573220068296,0.0033009776841610096,0.2736944327189277,0.32318038853895925,0.2917089073386113,0.5825876790240047,0.3470260734278401,0.020610770637545756,0.9586395998086861,0.18587474507100019,0.5627491207010085,0.1837658098244837
nRing,1.6209615096419234,2.8869026662662094,0.4929301771007355,2.545593468313854,0.036299104479160224,0.007592091797844046,0.027990467990970234,0.04433271336726802,4.758786550046541,1.8500017814379537,0.37677448528926266,0.10045816160123774,0.2047355340149131,0.5307954535273356,0.0004469052489524139,1.2856940337744773,0.0008096867598981652,0.02909185361432667,0.024285612276429502,0.4912482160955083,0.004497173063178433,4.6595053971171855e-05,0.21980872633038548,0.1560501061389643,0.0033902407679029106,0.5482876942359941,0.008227501019928127,0.13575720176719797,0.989275455551214,0.43769514179248464,0.0008489738165304773,0.011351500267431768,0.22432379507649988,0.002613603678876012,0.8151918753691068
MaxRing,1.1246884297117863,0.3167227432297799,0.3305856904041701,3.3313549660746946,0.8879068439637481,0.5146894398674715,2.1786839971164063,0.12840560615202948,0.16664180233500198,2.592227584565663,0.00024695038476715576,1.3889984080659281,4.23730735323778,0.22669550359705365,1.7686571736944843,0.24491080762427103,2.187350723638548,0.723560823292296,0.5760871259885832,0.8642379274188369,2.2722978455356904,0.015305803269539746,0.10354619342512526,0.14787433106470657,2.974132990581998,0.18397787562135703,0.6557077218821189,0.597145505255617,0.01954184885844865,4.680271039492168,0.1534787436657978,0.6671364948408018,8.113534074989309,0.7547025145841696,1.563748883650861
nHet,4.8743450736059115,0.05536223253966203,0.5846763151254392,0.07471182373095088,0.21538120934791674,0.23151328713275238,0.012904685409796654,0.18726157149140302,0.014426452967929788,0.12338525807246938,0.05304463086646411,0.2864889928969342,0.023116614268917705,7.306923040644947e-07,0.30237113746180516,0.05367517505228195,0.00034957261214972797,0.05771775925661606,0.06945358613569692,0.06037553868838199,0.001781734488693355,0.0039057278514286926,0.07539122342343776,0.20543505928010972,0.33309515135608225,0.08041423765091472,0.039753528308145845,0.7380565876473056,0.8925255962186833,0.07789454437086787,0.023827883264639412,0.1596648744056415,0.01120524705472421,0.0011568320776971068,0.22107417761565518
nRig,2.6837612227932333,2.126520736341419,0.35859410945706327,2.2209928165241566,0.0893305809013809,0.05919779987132274,0.04352882089116713,0.07427164406016415,3.2660895923567064,0.5035978588230688,0.4827840824408791,0.3922573994884101,0.09567918872015,0.000874559492175016,0.03548990544637351,0.07271271769372382,0.2555793559106355,0.03488055667199262,0.2715561279114028,0.4558927201480976,0.12911358568302225,0.21574853108268857,0.06743948474891798,0.5237518691116555,0.01591524280666957,0.1524914571042618,0.020755920198260572,0.05344329681237039,0.0019295106392884264,0.26260558017217184,0.1333729518844666,0.008998487806881608,0.1610885612467872,0.6148461527595266,0.04560350413187491
